trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
678,False,"{'a': 0.9, 'e': 0.013960468817531957}",25,17,13.282974868424654,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
679,False,"{'a': 0.9, 'e': 0.01391932271470872}",30,14,27.728417651067424,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
680,False,"{'a': 0.9, 'e': 0.013878358250867178}",20,12,12.324191945248277,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
681,False,"{'a': 0.9, 'e': 0.013837574358454256}",25,11,31.50851006519581,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
682,False,"{'a': 0.9, 'e': 0.013796969977748326}",25,15,10.510450588292137,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
683,False,"{'a': 0.9, 'e': 0.013756544056790375}",20,14,11.999528301083963,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
684,False,"{'a': 0.9, 'e': 0.013716295551315868}",25,9,30.307841717031405,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
685,False,"{'a': 0.9, 'e': 0.013676223424687297}",20,16,6.149499808051066,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
686,False,"{'a': 0.9, 'e': 0.013636326647827452}",20,7,15.89371151456332,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
687,False,"{'a': 0.9, 'e': 0.01359660419915334}",25,13,23.24014648640339,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
688,False,"{'a': 0.9, 'e': 0.013557055064510779}",25,10,24.7796748128718,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
689,False,"{'a': 0.9, 'e': 0.013517678237109695}",20,9,18.4476349484165,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
690,False,"{'a': 0.9, 'e': 0.013478472717460015}",20,10,20.34443048409278,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
691,False,"{'a': 0.9, 'e': 0.013439437513308266}",25,19,13.709615737546137,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
692,False,"{'a': 0.9, 'e': 0.013400571639574782}",25,13,22.670879480766562,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
693,False,"{'a': 0.9, 'e': 0.013361874118291551}",20,13,13.180158392665096,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
694,False,"{'a': 0.9, 'e': 0.013323343978540708}",25,0,42.130172450302936,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
695,False,"{'a': 0.9, 'e': 0.013284980256393616}",20,13,0.33813621753706835,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
696,False,"{'a': 0.9, 'e': 0.013246781994850595}",25,11,26.71490854697782,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
697,False,"{'a': 0.9, 'e': 0.013208748243781225}",20,12,14.379363955685077,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
698,False,"{'a': 0.9, 'e': 0.013170878059865271}",20,3,25.802199674071176,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
699,False,"{'a': 0.9, 'e': 0.01313317050653419}",25,11,24.99665414214,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
700,False,"{'a': 0.9, 'e': 0.01309562465391322}",20,10,16.17560998892632,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
701,False,"{'a': 0.9, 'e': 0.013058239578764064}",30,21,14.831261649195904,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
702,False,"{'a': 0.9, 'e': 0.013021014364428117}",20,14,9.492927322450809,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
703,False,"{'a': 0.9, 'e': 0.01298394810077029}",20,2,34.095974794259426,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
704,False,"{'a': 0.9, 'e': 0.012947039884123374}",25,19,11.63181803831856,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
705,False,"{'a': 0.9, 'e': 0.012910288817232957}",20,8,20.097187737853567,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
706,False,"{'a': 0.9, 'e': 0.0128736940092029}",30,16,25.23827543449615,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
707,False,"{'a': 0.9, 'e': 0.012837254575441343}",25,13,26.2825399648847,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
708,False,"{'a': 0.9, 'e': 0.012800969637607242}",20,12,16.07918793686657,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
709,False,"{'a': 0.9, 'e': 0.012764838323557442}",20,16,6.148937871002058,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
710,False,"{'a': 0.9, 'e': 0.01272885976729427}",20,14,10.16552189478884,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
711,False,"{'a': 0.9, 'e': 0.012693033108913654}",25,18,12.231975815761409,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
712,False,"{'a': 0.9, 'e': 0.012657357494553718}",20,7,28.326315046747187,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
713,False,"{'a': 0.9, 'e': 0.01262183207634393}",35,20,23.817205602154264,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
714,False,"{'a': 0.9, 'e': 0.012586456012354712}",25,14,16.972531524033986,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
715,False,"{'a': 0.9, 'e': 0.012551228466547562}",20,8,21.932021352813358,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
716,False,"{'a': 0.9, 'e': 0.012516148608725654}",20,16,6.376613200666817,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
717,False,"{'a': 0.9, 'e': 0.012481215614484934}",20,12,14.815142725975615,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
718,False,"{'a': 0.9, 'e': 0.012446428665165668}",20,7,20.351901202440192,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
719,False,"{'a': 0.9, 'e': 0.012411786947804497}",25,20,9.699027423104589,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
720,False,"{'a': 0.9, 'e': 0.012377289655086925}",20,7,23.550922428021504,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
721,False,"{'a': 0.9, 'e': 0.01234293598530029}",25,17,15.646760978157566,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
722,False,"{'a': 0.9, 'e': 0.012308725142287189}",20,7,23.123128485183447,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
723,False,"{'a': 0.9, 'e': 0.012274656335399328}",30,12,36.545200699589415,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
724,False,"{'a': 0.9, 'e': 0.012240728779451877}",20,9,19.297024019129392,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
725,False,"{'a': 0.9, 'e': 0.012206941694678187}",20,13,12.142861735330845,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
726,False,"{'a': 0.9, 'e': 0.01217329430668502}",20,9,21.174424388570355,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
727,False,"{'a': 0.9, 'e': 0.012139785846408157}",25,14,19.94232617291994,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
728,False,"{'a': 0.9, 'e': 0.012106415550068457}",20,13,11.827461895126122,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
729,False,"{'a': 0.9, 'e': 0.012073182659128337}",20,16,9.456165888267813,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
730,False,"{'a': 0.9, 'e': 0.012040086420248657}",25,7,32.663529610769146,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
731,False,"{'a': 0.9, 'e': 0.012007126085246041}",20,14,9.556594181764542,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
732,False,"{'a': 0.9, 'e': 0.011974300911050577}",20,9,21.767384880792918,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
733,False,"{'a': 0.9, 'e': 0.011941610159663947}",25,17,15.07989225907614,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
734,False,"{'a': 0.9, 'e': 0.011909053098117947}",25,17,19.246380656613454,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
735,False,"{'a': 0.9, 'e': 0.011876628998433393}",25,16,13.096045635262366,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
736,False,"{'a': 0.9, 'e': 0.011844337137579429}",20,14,12.764984329655709,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
737,False,"{'a': 0.9, 'e': 0.011812176797433223}",35,21,29.910273865880463,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
738,False,"{'a': 0.9, 'e': 0.011780147264740044}",20,12,15.936705260732706,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
739,False,"{'a': 0.9, 'e': 0.011748247831073706}",20,9,20.823787236317035,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
740,False,"{'a': 0.9, 'e': 0.011716477792797402}",20,8,24.97264171460142,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
741,False,"{'a': 0.9, 'e': 0.011684836451024897}",20,8,23.9009027332888,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
742,False,"{'a': 0.9, 'e': 0.011653323111582103}",25,13,24.217202703988807,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
743,False,"{'a': 0.9, 'e': 0.011621937084968987}",20,16,6.3997149985803405,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
744,False,"{'a': 0.9, 'e': 0.011590677686321873}",20,4,27.713918387049052,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
745,False,"{'a': 0.9, 'e': 0.011559544235376074}",25,17,13.056988784295026,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
746,False,"{'a': 0.9, 'e': 0.011528536056428876}",20,2,32.13125836168736,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
747,False,"{'a': 0.9, 'e': 0.011497652478302886}",20,16,9.083212218408026,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
748,False,"{'a': 0.9, 'e': 0.011466892834309706}",20,10,18.78750053235176,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
749,False,"{'a': 0.9, 'e': 0.011436256462213957}",25,16,17.530039259361654,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
750,False,"{'a': 0.9, 'e': 0.011405742704197627}",20,9,16.461126954643248,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
751,False,"{'a': 0.9, 'e': 0.011375350906824771}",20,6,26.879094071473723,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
752,False,"{'a': 0.9, 'e': 0.011345080421006517}",20,10,17.811742551897474,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
753,False,"{'a': 0.9, 'e': 0.011314930601966415}",30,12,30.530626508398925,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
754,False,"{'a': 0.9, 'e': 0.011284900809206104}",20,12,18.27000447025902,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
755,False,"{'a': 0.9, 'e': 0.011254990406471281}",30,18,20.48662607916589,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
756,False,"{'a': 0.9, 'e': 0.011225198761718022}",20,6,23.21022157804455,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
757,False,"{'a': 0.9, 'e': 0.011195525247079372}",35,25,19.003626212024837,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
758,False,"{'a': 0.9, 'e': 0.011165969238832271}",25,17,15.300937726445209,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
759,False,"{'a': 0.9, 'e': 0.011136530117364783}",20,15,9.925156442256698,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
760,False,"{'a': 0.9, 'e': 0.01110720726714361}",20,11,18.39485610221139,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
761,False,"{'a': 0.9, 'e': 0.011078000076681931}",20,10,20.733236510604154,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
762,False,"{'a': 0.9, 'e': 0.011048907938507506}",30,21,21.620827865459283,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
763,False,"{'a': 0.9, 'e': 0.011019930249131107}",25,20,10.178651860981514,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
764,False,"{'a': 0.9, 'e': 0.010991066409015204}",25,15,15.820046201183343,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
765,False,"{'a': 0.9, 'e': 0.010962315822542971}",25,15,18.995095872782333,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
766,False,"{'a': 0.9, 'e': 0.010933677897987545}",20,8,26.347427159989184,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
767,False,"{'a': 0.9, 'e': 0.010905152047481579}",20,6,25.50334113866175,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
768,False,"{'a': 0.9, 'e': 0.010876737686987086}",20,16,9.740607048878106,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
769,False,"{'a': 0.9, 'e': 0.010848434236265537}",25,15,17.970769188752467,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
770,False,"{'a': 0.9, 'e': 0.010820241118848233}",30,13,27.350218141279484,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
771,False,"{'a': 0.9, 'e': 0.010792157762006963}",20,12,15.392800530968158,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
772,False,"{'a': 0.9, 'e': 0.01076418359672491}",25,9,26.951651022554277,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
773,False,"{'a': 0.9, 'e': 0.010736318057667825}",20,13,13.424512511354642,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
774,False,"{'a': 0.9, 'e': 0.010708560583155474}",25,13,19.961711138168305,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
775,False,"{'a': 0.9, 'e': 0.01068091061513333}",20,12,13.049310578608624,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
776,False,"{'a': 0.9, 'e': 0.010653367599144516}",20,10,20.321634423872904,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
777,False,"{'a': 0.9, 'e': 0.01062593098430202}",20,14,10.680028415452858,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
778,False,"{'a': 0.9, 'e': 0.010598600223261142}",20,8,23.162090400481375,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
779,False,"{'a': 0.9, 'e': 0.0105713747721922}",20,16,7.588708205869004,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
780,False,"{'a': 0.9, 'e': 0.010544254090753472}",20,6,26.083558429862755,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
781,False,"{'a': 0.9, 'e': 0.010517237642064392}",20,14,11.43905551420541,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
782,False,"{'a': 0.9, 'e': 0.010490324892678973}",20,16,7.871272622526522,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
783,False,"{'a': 0.9, 'e': 0.01046351531255948}",25,19,11.937261873869748,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
784,False,"{'a': 0.9, 'e': 0.010436808375050326}",25,14,19.530195101761844,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
785,False,"{'a': 0.9, 'e': 0.010410203556852217}",20,8,19.143959844994477,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
786,False,"{'a': 0.9, 'e': 0.010383700337996505}",30,14,27.31688111670949,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
787,False,"{'a': 0.9, 'e': 0.010357298201819794}",20,10,19.158948793468756,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
788,False,"{'a': 0.9, 'e': 0.010330996634938756}",20,14,10.818408728563359,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
789,False,"{'a': 0.9, 'e': 0.010304795127225166}",25,20,9.303853488443044,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
790,False,"{'a': 0.9, 'e': 0.01027869317178118}",20,12,16.681256998357206,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
791,False,"{'a': 0.9, 'e': 0.010252690264914809}",25,13,-21.763139741267207,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
792,False,"{'a': 0.9, 'e': 0.010226785906115622}",20,9,21.512415220465215,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
793,False,"{'a': 0.9, 'e': 0.010200979598030662}",25,8,31.065085235717973,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
794,False,"{'a': 0.9, 'e': 0.010175270846440572}",20,12,17.658900578128762,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
795,False,"{'a': 0.9, 'e': 0.010149659160235937}",25,12,23.884100513609724,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
796,False,"{'a': 0.9, 'e': 0.010124144051393823}",20,10,18.573314332514556,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
797,False,"{'a': 0.9, 'e': 0.010098725034954528}",30,14,33.97321407575141,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
798,False,"{'a': 0.9, 'e': 0.010073401628998552}",20,12,18.14006945789543,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
799,False,"{'a': 0.9, 'e': 0.010048173354623737}",20,11,17.980248405007195,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
800,False,"{'a': 0.9, 'e': 0.010023039735922638}",30,22,16.158346754021533,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
801,False,"{'a': 0.9, 'e': 0.009998000299960074}",30,15,29.402440838158768,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
802,False,"{'a': 0.9, 'e': 0.009973054576750877}",30,19,19.982877588083507,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
803,False,"{'a': 0.9, 'e': 0.009948202099237843}",20,9,21.229961102001397,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
804,False,"{'a': 0.9, 'e': 0.009923442403269872}",30,24,13.51709553798244,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
805,False,"{'a': 0.9, 'e': 0.009898775027580287}",30,19,22.761608542285494,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
806,False,"{'a': 0.9, 'e': 0.009874199513765362}",25,1,38.97930279596091,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
807,False,"{'a': 0.9, 'e': 0.009849715406263013}",25,8,31.23248339797292,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
808,False,"{'a': 0.9, 'e': 0.009825322252331698}",25,18,14.453471335375216,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
809,False,"{'a': 0.9, 'e': 0.009801019602029481}",20,12,15.789375011229874,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
810,False,"{'a': 0.9, 'e': 0.00977680700819328}",20,9,20.116525320478694,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
811,False,"{'a': 0.9, 'e': 0.009752684026418306}",20,15,8.723395379305796,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
812,False,"{'a': 0.9, 'e': 0.009728650215037667}",30,22,18.88459843873386,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
813,False,"{'a': 0.9, 'e': 0.009704705135102146}",30,18,23.89040163843153,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
814,False,"{'a': 0.9, 'e': 0.00968084835036017}",25,13,22.567985289604984,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
815,False,"{'a': 0.9, 'e': 0.009657079427237932}",20,16,8.062733110515953,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
816,False,"{'a': 0.9, 'e': 0.00963339793481969}",20,12,13.282360917112147,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
817,False,"{'a': 0.9, 'e': 0.009609803444828249}",20,8,12.715522524357556,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
818,False,"{'a': 0.9, 'e': 0.009586295531605577}",35,18,34.86932568255659,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
819,False,"{'a': 0.9, 'e': 0.009562873772093625}",35,18,31.57386086414316,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
820,False,"{'a': 0.9, 'e': 0.009539537745815285}",20,10,19.789953914385542,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
821,False,"{'a': 0.9, 'e': 0.00951628703485552}",20,8,20.687664950744487,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
822,False,"{'a': 0.9, 'e': 0.009493121223842646}",20,10,7.350765871520134,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
823,False,"{'a': 0.9, 'e': 0.009470039899929802}",35,18,30.616651466139665,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
824,False,"{'a': 0.9, 'e': 0.009447042652776528}",20,13,13.858424257600312,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
825,False,"{'a': 0.9, 'e': 0.009424129074530547}",25,17,14.678384411606544,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
826,False,"{'a': 0.9, 'e': 0.00940129875980967}",25,17,14.859282604067179,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
827,False,"{'a': 0.9, 'e': 0.009378551305683885}",20,11,15.268569149741475,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
828,False,"{'a': 0.9, 'e': 0.009355886311657548}",25,19,12.505603497616914,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
829,False,"{'a': 0.9, 'e': 0.009333303379651785}",20,13,17.247042232764688,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
830,False,"{'a': 0.9, 'e': 0.009310802113986993}",35,17,30.97981082373352,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
831,False,"{'a': 0.9, 'e': 0.00928838212136552}",20,16,8.99271762189122,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
832,False,"{'a': 0.9, 'e': 0.009266043010854466}",25,20,9.551601592715912,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
833,False,"{'a': 0.9, 'e': 0.00924378439386866}",25,3,42.86896397390286,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
834,False,"{'a': 0.9, 'e': 0.009221605884153739}",20,16,7.366252919821578,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
835,False,"{'a': 0.9, 'e': 0.009199507097769411}",25,18,13.37354439384164,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
836,False,"{'a': 0.9, 'e': 0.009177487653072827}",30,7,42.78779172460175,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
837,False,"{'a': 0.9, 'e': 0.009155547170702105}",25,13,21.67213981068201,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
838,False,"{'a': 0.9, 'e': 0.009133685273559997}",25,13,23.387901874246243,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
839,False,"{'a': 0.9, 'e': 0.009111901586797677}",25,14,21.80588601387888,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
840,False,"{'a': 0.9, 'e': 0.009090195737798675}",25,15,10.200050726170659,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
841,False,"{'a': 0.9, 'e': 0.00906856735616295}",35,13,42.08028028252959,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
842,False,"{'a': 0.9, 'e': 0.009047016073691077}",25,14,19.56932644682196,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
843,False,"{'a': 0.9, 'e': 0.009025541524368585}",20,13,12.766526861609433,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
844,False,"{'a': 0.9, 'e': 0.009004143344350412}",20,12,15.598682714185554,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
845,False,"{'a': 0.9, 'e': 0.008982821171945493}",20,13,9.938222450561872,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
846,False,"{'a': 0.9, 'e': 0.00896157464760148}",25,13,25.202204218698405,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
847,False,"{'a': 0.9, 'e': 0.00894040341388958}",30,15,32.0637841562727,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
848,False,"{'a': 0.9, 'e': 0.008919307115489526}",25,13,23.211656566986107,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
849,False,"{'a': 0.9, 'e': 0.008898285399174661}",20,12,14.35939191825422,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
850,False,"{'a': 0.9, 'e': 0.008877337913797165}",20,8,20.700322464772654,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
851,False,"{'a': 0.9, 'e': 0.008856464310273378}",25,15,17.180792348769984,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
852,False,"{'a': 0.9, 'e': 0.008835664241569263}",20,16,8.076669724858887,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
853,False,"{'a': 0.9, 'e': 0.008814937362685982}",25,17,13.316064838877777,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
854,False,"{'a': 0.9, 'e': 0.008794283330645589}",25,19,11.523129385983172,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
855,False,"{'a': 0.9, 'e': 0.008773701804476841}",20,7,24.925516853386135,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
856,False,"{'a': 0.9, 'e': 0.008753192445201126}",25,14,23.426934026550345,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
857,False,"{'a': 0.9, 'e': 0.008732754915818503}",20,14,11.349862293664351,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
858,False,"{'a': 0.9, 'e': 0.008712388881293864}",25,11,20.937074126388392,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
859,False,"{'a': 0.9, 'e': 0.008692094008543198}",20,16,6.167526867248986,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
860,False,"{'a': 0.9, 'e': 0.008671869966419976}",20,16,8.531147471505292,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
861,False,"{'a': 0.9, 'e': 0.008651716425701636}",20,14,12.58556640636818,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
862,False,"{'a': 0.9, 'e': 0.008631633059076193}",25,14,21.055236467627875,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
863,False,"{'a': 0.9, 'e': 0.008611619541128945}",25,3,38.52599798948868,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
